M1,M2,G1,G2
10.0,37.5,17.257,-1.427
10.0,40.0,17.105,-1.655
10.0,42.5,16.942,-1.902
10.0,45.0,16.767,-2.167
10.0,47.5,16.579,-2.452
10.0,50.0,16.378,-2.756
10.0,52.5,16.165,-3.081
10.0,55.0,15.938,-3.426
10.0,57.5,15.699,-3.792
10.0,60.0,15.447,-4.178
10.0,62.5,15.183,-4.585
10.0,65.0,14.905,-5.012
10.0,67.5,14.616,-5.460
10.0,70.0,14.314,-5.928
10.0,72.5,14.000,-6.416
10.0,75.0,13.675,-6.922
10.0,77.5,13.338,-7.447
10.0,80.0,12.992,-7.990
10.0,82.5,12.635,-8.550
10.0,85.0,12.269,-9.125
10.0,87.5,11.895,-9.716
10.0,90.0,11.512,-10.320
10.0,92.5,11.122,-10.937
10.0,95.0,10.725,-11.566
10.0,97.5,10.323,-12.204
10.0,100.0,9.915,-12.852
10.0,102.5,9.502,-13.507
10.0,105.0,9.086,-14.169
10.0,107.5,8.667,-14.835
10.0,110.0,8.245,-15.504
10.0,112.5,7.822,-16.176
10.0,115.0,7.399,-16.848
10.0,117.5,6.975,-17.519
10.0,120.0,6.551,-18.188
10.0,122.5,6.130,-18.852
10.0,125.0,5.710,-19.512
10.0,127.5,5.294,-20.165
10.0,130.0,4.882,-20.809
10.0,132.5,4.474,-21.444
10.0,135.0,4.072,-22.068
10.0,137.5,3.677,-22.678
10.0,140.0,3.290,-23.274
10.0,142.5,2.911,-23.854
10.0,145.0,2.542,-24.417
10.0,147.5,2.183,-24.960
10.0,150.0,1.837,-25.482
10.0,152.5,1.505,-25.981
10.0,155.0,1.186,-26.457
10.0,157.5,0.884,-26.906
10.0,160.0,0.599,-27.327
12.5,0.0,18.237,0.151
12.5,2.5,18.233,0.146
12.5,5.0,18.222,0.129
12.5,7.5,18.202,0.099
12.5,10.0,18.173,0.056
12.5,12.5,18.136,0.000
12.5,15.0,18.089,-0.070
12.5,17.5,18.033,-0.153
12.5,20.0,17.968,-0.251
12.5,22.5,17.893,-0.364
12.5,25.0,17.808,-0.492
12.5,27.5,17.713,-0.635
12.5,30.0,17.607,-0.795
12.5,32.5,17.491,-0.971
12.5,35.0,17.363,-1.164
12.5,37.5,17.224,-1.374
12.5,40.0,17.073,-1.603
12.5,42.5,16.910,-1.851
12.5,45.0,16.735,-2.117
12.5,47.5,16.548,-2.403
12.5,50.0,16.348,-2.709
12.5,52.5,16.136,-3.035
12.5,55.0,15.910,-3.381
12.5,57.5,15.672,-3.748
